zip,Cnsmr,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC
27101,"2,786","2,661",$503
27102,17,*,*
27103,"3,503","3,306",$483
27104,"2,268","2,095",$461
27105,"5,140","5,050",$512
27106,"4,077","3,866",$476
27107,"4,413","4,290",$486
27108,*,*,*
27109,*,*,*
27110,*,*,*
27111,*,*,*
27113,*,*,*
27114,12,*,*
27115,*,*,*
27116,*,*,*
27117,*,*,*
27120,*,*,*
27127,"3,621","3,494",$495
27130,*,*,*
27155,*,*,*
27201,*,*,*
27202,*,*,*
27203,"2,085","2,025",$520
27204,13,*,*
27205,"2,746","2,610",$515
27207,314,303,$535
27208,169,*,*
27209,779,*,*
27212,103,*,*
27213,*,*,*
27214,977,914,$519
27215,"3,552","3,379",$526
27216,*,*,*
27217,"3,498","3,419",$557
27228,*,*,*
27229,367,*,*
27230,18,*,*
27231,195,*,*
27233,294,*,*
27235,395,367,$487
27237,*,*,*
27239,849,815,$520
27242,234,*,*
27243,360,336,$534
27244,798,744,$558
27247,15,*,*
27248,369,355,$546
27249,903,859,$528
27252,161,*,*
27253,"2,579","2,476",$539
27256,*,*,*
27258,521,497,$559
27259,*,*,*
27260,"3,416","3,348",$528
27261,19,*,*
27262,"2,487","2,383",$508
27263,"2,591","2,528",$530
27264,*,*,*
27265,"4,858","4,627",$510
27268,*,*,*
27278,"2,201","1,980",$507
27281,313,298,$642
27282,"1,477","1,405",$514
27283,230,*,*
27284,"4,223","4,007",$476
27285,*,*,*
27288,"1,929","1,899",$547
27289,*,*,*
27291,93,*,*
27292,"3,635","3,500",$513
27293,11,*,*
27294,*,*,*
27295,"3,372","3,247",$501
27298,850,822,$546
27299,501,*,*
27301,772,746,$516
27302,"2,264","2,140",$529
27305,113,*,*
27306,569,546,$692
27310,550,506,$487
27311,244,*,*
27312,"1,767","1,605",$520
27313,508,489,$506
27314,95,*,*
27315,144,*,*
27316,608,590,$510
27317,"1,423","1,378",$526
27320,"2,998","2,929",$558
27323,*,*,*
27325,535,*,*
27326,289,*,*
27330,"3,512","3,374",$540
27331,*,*,*
27332,"2,390","2,305",$551
27340,24,*,*
27341,573,553,$559
27342,*,*,*
27343,118,*,*
27344,"1,692","1,644",$532
27349,531,513,$567
27350,568,552,$528
27351,*,*,*
27355,242,226,$568
27356,256,*,*
27357,689,647,$530
27358,"1,131","1,014",$486
27360,"4,768","4,614",$501
27361,11,*,*
27370,"1,340","1,295",$527
27371,574,558,$632
27374,11,*,*
27375,*,*,*
27376,854,810,$632
27377,855,803,$494
27379,393,*,*
27401,"2,193","2,128",$534
27402,11,*,*
27403,"1,948","1,843",$486
27404,*,*,*
27405,"5,713","5,553",$521
27406,"6,539","6,358",$522
27407,"5,410","5,213",$506
27408,"1,570","1,420",$469
27409,"1,833","1,771",$508
27410,"4,528","4,177",$486
27411,*,*,*
27412,*,*,*
27413,*,*,*
27415,*,*,*
27416,*,*,*
27417,*,*,*
27419,*,*,*
27420,*,*,*
27425,*,*,*
27427,*,*,*
27429,*,*,*
27435,*,*,*
27438,*,*,*
27455,"2,357","2,172",$489
27495,*,*,*
27497,*,*,*
27499,*,*,*
27501,"1,962","1,868",$500
27502,"3,184","2,818",$471
27503,250,219,$505
27504,"1,610","1,533",$514
27505,576,561,$542
27506,*,*,*
27507,145,*,*
27508,184,*,*
27509,306,*,*
27510,"1,365","1,230",$478
27511,"2,969","2,739",$479
27512,13,*,*
27513,"3,965","3,506",$487
27514,"1,795","1,566",$488
27515,14,*,*
27516,"2,913","2,522",$487
27517,"1,781","1,506",$495
27518,"1,484","1,279",$485
27519,"4,726","4,194",$499
27520,"4,106","3,876",$484
27521,617,598,$552
27522,"1,053","1,017",$597
27523,"1,502","1,312",$503
27524,"1,150","1,101",$520
27525,"1,660","1,584",$521
27526,"4,697","4,317",$487
27527,"2,669","2,482",$460
27528,16,*,*
27529,"5,026","4,731",$492
27530,"3,737","3,682",$635
27531,*,*,*
27533,*,*,*
27534,"2,319","2,229",$634
27536,"2,116","2,085",$628
27537,"2,190","2,128",$616
27539,"1,869","1,662",$475
27540,"3,105","2,765",$455
27541,279,262,$517
27542,810,777,$550
27543,*,*,*
27544,330,*,*
27545,"2,952","2,761",$498
27546,"1,495","1,445",$544
27549,"2,192","2,107",$539
27551,173,*,*
27552,*,*,*
27553,168,*,*
27555,36,*,*
27556,20,*,*
27557,853,830,$545
27559,191,180,$549
27560,"3,079","2,807",$505
27562,333,279,$483
27563,410,*,*
27565,"1,952","1,885",$643
27568,32,*,*
27569,622,598,$538
27570,*,*,*
27571,635,581,$458
27572,490,457,$571
27573,"1,102","1,087",$577
27574,"1,118","1,080",$578
27576,"2,005","1,933",$510
27577,"2,509","2,415",$513
27581,227,212,$640
27582,30,*,*
27583,537,514,$546
27584,*,*,*
27586,*,*,*
27587,"6,375","5,768",$461
27588,*,*,*
27589,692,676,$638
27591,"2,361","2,224",$498
27592,"1,584","1,496",$487
27593,*,*,*
27596,"1,868","1,772",$475
27597,"2,928","2,760",$498
27601,"1,128","1,014",$512
27602,14,*,*
27603,"5,246","4,810",$490
27604,"5,945","5,631",$493
27605,459,372,$476
27606,"4,578","4,246",$462
27607,"1,455","1,260",$448
27608,696,512,$413
27609,"3,705","3,343",$460
27610,"9,446","9,132",$509
27611,19,*,*
27612,"3,292","2,931",$454
27613,"3,552","3,103",$458
27614,"2,730","2,327",$470
27615,"3,285","2,903",$480
27616,"7,369","7,076",$497
27617,"1,906","1,734",$484
27619,*,*,*
27620,*,*,*
27623,*,*,*
27624,*,*,*
27625,*,*,*
27626,*,*,*
27627,*,*,*
27629,13,*,*
27634,*,*,*
27636,*,*,*
27640,*,*,*
27650,*,*,*
27656,*,*,*
27658,*,*,*
27661,*,*,*
27675,11,*,*
27676,*,*,*
27690,*,*,*
27697,*,*,*
27699,*,*,*
27701,"3,058","2,799",$513
27702,26,*,*
27703,"6,386","6,048",$514
27704,"4,261","4,064",$525
27705,"3,882","3,526",$485
27706,*,*,*
27707,"4,961","4,639",$502
27708,15,*,*
27709,*,*,*
27710,*,*,*
27711,*,*,*
27712,"1,494","1,350",$511
27713,"4,229","3,846",$514
27715,*,*,*
27717,*,*,*
27722,*,*,*
27801,"2,007","1,976",$682
27802,18,*,*
